,_time,id,count,Date,Time
358,2023-09-18 21:45:00+00:00,line_1,,2023-09-18,21:45:00
359,2023-09-18 21:50:00+00:00,line_1,,2023-09-18,21:50:00
360,2023-09-18 21:55:00+00:00,line_1,,2023-09-18,21:55:00
361,2023-09-18 22:00:00+00:00,line_1,,2023-09-18,22:00:00
362,2023-09-18 22:05:00+00:00,line_1,,2023-09-18,22:05:00
363,2023-09-18 22:10:00+00:00,line_1,,2023-09-18,22:10:00
364,2023-09-18 22:15:00+00:00,line_1,,2023-09-18,22:15:00
365,2023-09-18 22:20:00+00:00,line_1,,2023-09-18,22:20:00
366,2023-09-18 22:25:00+00:00,line_1,,2023-09-18,22:25:00
367,2023-09-18 22:30:00+00:00,line_1,,2023-09-18,22:30:00
368,2023-09-18 22:35:00+00:00,line_1,,2023-09-18,22:35:00
369,2023-09-18 22:40:00+00:00,line_1,,2023-09-18,22:40:00
370,2023-09-18 22:45:00+00:00,line_1,,2023-09-18,22:45:00
371,2023-09-18 22:50:00+00:00,line_1,,2023-09-18,22:50:00
372,2023-09-18 22:55:00+00:00,line_1,,2023-09-18,22:55:00
373,2023-09-18 23:00:00+00:00,line_1,,2023-09-18,23:00:00
374,2023-09-18 23:05:00+00:00,line_1,,2023-09-18,23:05:00
